Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Carlos,brBRA,"MF,FW",23-090,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Eliédson,brBRA,MF,21-186,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Werik Popó,brBRA,FW,22-338,1,0,10,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,1.52,0.00,1.52,1.52,1.52,Matches
Eliel,brBRA,MF,21-179,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adriano Filho,brBRA,MF,20-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Erick Garcia,brBRA,DF,19-107,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Léo Gonçalves,brBRA,MF,22-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guilherme,brBRA,DF,22-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hiago,brBRA,DF,19-017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaja Jackson Henrique,brBRA,DF,21-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Eduardo Melo,brBRA,FW,23-129,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kauã Moroso,brBRA,GK,20-192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jhonata Robert,brBRA,FW,24-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Teixeira,brBRA,GK,25-195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,30.9,25,275,"2,250",25.0,32,20,52,32,0,0,70,4,28.0,28.0,20.3,48.3,297,896,889,1.28,0.80,2.08,1.28,2.08,1.12,0.81,1.93,1.12,1.93,
Opponent Total,,,28.5,25,275,"2,250",25.0,39,31,70,36,3,5,53,2,34.1,30.2,22.9,53.1,465,1123,1112,1.56,1.24,2.80,1.44,2.68,1.36,0.92,2.28,1.21,2.12,
