Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus Martins,brBRA,"MF,FW",21-065,5,2,162,1.8,2,0,2,2,0,0,0,0,1.2,1.2,0.0,1.2,9,8,17,1.11,0.00,1.11,1.11,1.11,0.67,0.01,0.69,0.67,0.69,Matches
Vitinho,brBRA,DF,25-058,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Matches
Matheus Nascimento,brBRA,FW,20-200,1,1,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Diego Hernández,uyURU,"FW,MF",24-089,10,0,207,2.3,0,2,2,0,0,0,3,0,0.1,0.1,0.5,0.6,3,9,13,0.00,0.87,0.87,0.00,0.87,0.03,0.22,0.24,0.03,0.24,Matches
Yarlen Augusto,brBRA,MF,18-212,4,0,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Patrick de Paula,brBRA,"MF,FW",25-011,4,0,30,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
Pablo,brBRA,DF,33-090,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fabiano,brBRA,DF,18-157,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jacob Montes,niNCA,"FW,MF",25-335,1,0,19,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,4.74,0.00,4.74,4.74,4.74,0.59,0.00,0.59,0.59,0.59,Matches
Alex Telles,brBRA,DF,31-279,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adryelson,brBRA,DF,26-180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Barreto,brBRA,GK,22-214,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Janderson,brBRA,FW,25-136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis Segovia,ecECU,DF,26-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raul Steffens,brBRA,GK,27-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.8,26,286,"2,340",26.0,45,29,74,41,4,6,78,2,37.2,32.7,24.9,57.5,371,1047,1037,1.73,1.12,2.85,1.58,2.69,1.43,0.96,2.39,1.26,2.21,
Opponent Total,,,28.4,26,286,"2,340",26.0,25,16,41,20,5,6,80,3,27.9,23.2,17.3,40.5,352,896,885,0.96,0.62,1.58,0.77,1.38,1.07,0.67,1.74,0.89,1.56,
