Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Talisson,brBRA,FW,22-121,4,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Fabrício,brBRA,GK,24-096,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leonardo Realpe,ecECU,DF,23-206,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Bruninho,brBRA,"FW,MF",21-189,2,1,79,0.9,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,0,4,7,0.00,1.14,1.14,0.00,1.14,0.18,0.08,0.26,0.18,0.26,Matches
Everton,brBRA,FW,22-208,1,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Juliano,brBRA,FW,16-202,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Chumbinho,brBRA,"MF,FW",20-363,2,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84,Matches
Riquelme,brBRA,MF,18-256,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arthur,brBRA,FW,21-191,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Caetano,brBRA,MF,22-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Johan Caicedo,coCOL,MF,20-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Danilo,brBRA,DF,20-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dija,brBRA,DF,21-158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kelvin Flórez,coCOL,MF,20-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Victor Hugo,brBRA,MF,21-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Isac,brBRA,DF,18-170,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Lopes,brBRA,MF,18-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kauan Martins,brBRA,DF,20-292,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Neto,brBRA,FW,21-121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Paulo,brBRA,DF,21-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gustavo Reis,brBRA,GK,19-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Vinicius,brBRA,MF,20-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.2,25,275,"2,250",25.0,31,20,51,28,3,3,68,3,26.0,23.7,17.1,40.8,361,826,812,1.24,0.80,2.04,1.12,1.92,1.04,0.69,1.73,0.95,1.63,
Opponent Total,,,28.5,25,275,"2,250",25.0,31,24,55,31,0,1,68,2,30.9,30.0,25.4,55.4,367,968,957,1.24,0.96,2.20,1.24,2.20,1.24,1.02,2.25,1.20,2.21,
