Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Calebe,brBRA,"FW,MF",24-142,3,0,29,0.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,4,3,0.00,0.00,0.00,0.00,0.00,0.53,0.59,1.11,0.53,1.11,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amorim,brBRA,MF,19-124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iarley Barros,brBRA,FW,21-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bruno,brBRA,GK,22-103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fabricio Dias,brBRA,FW,20-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gonzalo Escobar,arARG,DF,27-187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maurício Kozlinski,brBRA,GK,33-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Santos,brBRA,GK,34-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jhonatan Silva,brBRA,DF,25-068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,30.5,26,286,"2,340",26.0,30,24,54,27,3,3,71,6,31.4,29.1,23.7,52.8,376,791,782,1.15,0.92,2.08,1.04,1.96,1.21,0.91,2.12,1.12,2.03,
Opponent Total,,,27.8,26,286,"2,340",26.0,25,17,42,22,3,3,69,3,32.2,29.9,23.1,53.0,476,1131,1120,0.96,0.65,1.62,0.85,1.50,1.24,0.89,2.13,1.15,2.04,
