Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Helibelton Palacios,coCOL,DF,31-100,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
José Cifuentes,ecECU,MF,25-191,3,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Mateus Vital,brBRA,"MF,FW",26-220,11,0,197,2.2,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,5,13,15,0.46,0.00,0.46,0.46,0.46,0.24,0.12,0.36,0.24,0.36,Matches
Rafael Elias,brBRA,FW,25-160,5,0,103,1.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,0,3,9,0.87,0.00,0.87,0.87,0.87,0.50,0.00,0.50,0.50,0.50,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,3,0,82,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,0,3,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
João Pedro,brBRA,"FW,MF",21-230,3,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Fabrizio Peralta,pyPAR,MF,22-048,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Léo Aragão,brBRA,GK,22-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafael Bilu,brBRA,MF,25-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Chapecó,brBRA,GK,24-174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dorival,brBRA,MF,20-226,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jhosefer,brBRA,FW,20-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jonathan,brBRA,DF,20-115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedrão,brBRA,DF,20-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tevis Gabriel Alves Santos,brBRA,FW,18-235,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Weverton,brBRA,DF,21-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.5,26,286,"2,340",26.0,34,22,56,30,4,5,70,3,26.9,23.0,16.7,39.7,431,992,981,1.31,0.85,2.15,1.15,2.00,1.04,0.64,1.68,0.89,1.53,
Opponent Total,,,28.6,26,286,"2,340",26.0,26,18,44,24,2,2,60,6,29.7,28.3,22.4,50.7,351,932,924,1.00,0.69,1.69,0.92,1.62,1.14,0.86,2.00,1.09,1.95,
