Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,5,1,183,2.0,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.3,12,8,19,0.00,0.49,0.49,0.00,0.49,0.18,0.47,0.65,0.18,0.65,Matches
Romulo,brBRA,"FW,MF",22-348,7,1,151,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,4,5,26,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25,Matches
Jhonatan Jowjow,brBRA,MF,22-010,3,1,142,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.1,0.7,4,9,12,0.00,0.63,0.63,0.00,0.63,0.34,0.07,0.41,0.34,0.41,Matches
Marcelo Lomba,brBRA,GK,37-276,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luighi,brBRA,"MF,FW",18-142,3,0,21,0.2,1,0,1,1,0,0,0,0,1.2,1.2,0.0,1.2,1,0,4,4.29,0.00,4.29,4.29,4.29,5.15,0.00,5.15,5.15,5.15,Matches
García,brBRA,"MF,FW",22-259,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Deivid Andrade,brBRA,GK,19-110,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis Benedetti,brBRA,DF,18-104,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Breno,brBRA,"FW,MF",28-239,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mateus,brBRA,GK,22-140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Patrick Silva,brBRA,MF,20-184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.2,26,286,"2,340",26.0,41,28,69,37,4,5,61,3,45.2,41.7,32.9,74.6,445,1207,1191,1.58,1.08,2.65,1.42,2.50,1.74,1.26,3.01,1.60,2.87,
Opponent Total,,,28.3,26,286,"2,340",26.0,18,14,32,17,1,2,78,5,25.3,23.8,19.0,42.7,364,782,775,0.69,0.54,1.23,0.65,1.19,0.97,0.73,1.70,0.91,1.64,
