Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Abner,brBRA,DF,20-153,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Davi Goes,brBRA,MF,19-089,2,1,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Edson Carioca,brBRA,"FW,MF",27-077,7,0,154,1.7,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,5,2,10,0.00,0.58,0.58,0.00,0.58,0.19,0.10,0.29,0.19,0.29,Matches
Diego Gonçalves,brBRA,"FW,MF",30-059,7,0,136,1.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,8,0.66,0.00,0.66,0.66,0.66,0.08,0.01,0.09,0.08,0.09,Matches
Rildo,brBRA,"FW,MF",24-242,6,0,119,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,5,3,10,0.00,0.00,0.00,0.00,0.00,0.20,0.06,0.26,0.20,0.26,Matches
Ruan,brBRA,"FW,MF",19-139,6,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,11,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
Werik Popó,brBRA,FW,22-338,5,0,42,0.5,0,0,0,0,0,0,2,1,0.0,0.0,0.2,0.2,2,0,7,0.00,0.00,0.00,0.00,0.00,0.11,0.42,0.53,0.11,0.53,Matches
David,brBRA,MF,24-254,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kleiton,brBRA,FW,25-149,1,0,29,0.3,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,1,0,0.00,0.00,0.00,0.00,0.00,1.57,0.00,1.57,1.57,1.57,Matches
Peixoto,brBRA,MF,27-081,2,0,20,0.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches
Guilherme Carvalho,brBRA,MF,25-000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Renan dos Santos,brBRA,GK,35-124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kelvi,brBRA,MF,21-338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mário,brBRA,GK,19-098,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafael Pinna,brBRA,FW,17-015,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cauã da Rocha,brBRA,DF,19-281,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Romércio,brBRA,DF,27-207,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mateus Schaffer,brBRA,,17-158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Trevisol,brBRA,MF,19-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Vitor,brBRA,DF,22-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Wingert,brBRA,GK,25-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.0,26,286,"2,340",26.0,31,24,55,31,0,0,82,10,26.9,26.9,20.7,47.6,339,785,776,1.19,0.92,2.12,1.19,2.12,1.03,0.79,1.83,1.03,1.83,
Opponent Total,,,28.3,26,286,"2,340",26.0,36,21,57,30,6,8,70,3,43.1,36.9,29.2,66.0,393,1096,1081,1.38,0.81,2.19,1.15,1.96,1.66,1.12,2.78,1.42,2.54,
