Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rubens,brBRA,"DF,FW",23-090,7,3,255,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,5,5,19,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Matches
Jemerson,brBRA,DF,32-026,3,3,203,2.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Deyverson,brBRA,FW,33-134,5,2,221,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,1,13,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Pedrinho,brBRA,"MF,DF",26-159,8,1,207,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,5,21,25,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22,Matches
Alan Kardec,brBRA,"FW,DF",35-251,8,0,81,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,1,0,7,0.00,0.00,0.00,0.00,0.00,0.22,0.38,0.59,0.22,0.59,Matches
Robert Conceição,brBRA,"MF,DF",21-061,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,0.00,0.63,Matches
Isaac,brBRA,FW,20-177,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.62,0.62,Matches
Victor Hugo,brBRA,MF,19-313,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Átila,brBRA,GK,21-241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Delfim,brBRA,GK,22-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.6,24,264,"2,160",24.0,32,14,46,24,8,8,72,8,30.0,23.7,17.2,41.0,413,1105,1099,1.33,0.58,1.92,1.00,1.58,1.25,0.72,1.97,0.99,1.71,
Opponent Total,,,28.9,24,264,"2,160",24.0,36,22,58,34,2,3,70,3,27.5,25.0,18.6,43.6,296,729,723,1.50,0.92,2.42,1.42,2.33,1.14,0.77,1.92,1.04,1.82,
