Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,2,1,79,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
Dé Marcão,brBRA,DF,23-127,1,1,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Luiz Gustavo,brBRA,DF,21-112,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max,brBRA,"FW,MF",22-083,14,0,263,2.9,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,13,5,32,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.29,0.10,0.29,Matches
Danielzinho,brBRA,"MF,FW",28-252,4,0,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,16,9,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches
Jorginho,brBRA,"MF,FW",33-258,3,0,73,0.8,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,2,5,4,0.00,1.23,1.23,0.00,1.23,0.06,0.10,0.16,0.06,0.16,Matches
Rafael Haller,uyURU,DF,24-033,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,4,0,49,0.5,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,3,2,13,1.84,0.00,1.84,1.84,1.84,0.90,0.14,1.05,0.90,1.05,Matches
Matías Lacava,veVEN,MF,21-331,2,0,36,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches
Gustavo Campanharo,brBRA,MF,32-168,2,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches
Eli,brBRA,FW,20-180,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
Randerson,brBRA,MF,20-191,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gustavo Daniel,brBRA,DF,19-196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jean Carlos Alves Ferreira,brBRA,MF,19-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Emerson Júnior,brBRA,GK,24-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Paranhos,brBRA,FW,17-343,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.3,26,286,"2,340",26.0,20,11,31,17,3,4,77,10,28.6,25.5,19.3,44.9,387,973,961,0.77,0.42,1.19,0.65,1.08,1.10,0.74,1.85,0.98,1.73,
Opponent Total,,,28.2,26,286,"2,340",26.0,40,27,67,35,5,6,71,7,33.3,28.6,22.1,50.7,424,1013,1008,1.54,1.04,2.58,1.35,2.38,1.28,0.85,2.13,1.10,1.95,
