Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alex Santana,brBRA,"MF,FW",29-129,4,0,101,1.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0,4,5,0.00,0.00,0.00,0.00,0.00,0.20,1.24,1.44,0.20,1.44,Matches
Kayke Santos,brBRA,FW,16-146,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcos André,brBRA,DF,18-088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Belezi,brBRA,DF,21-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bernardo Benítez,pyPAR,MF,21-310,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Derik,brBRA,DF,19-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dudu,brBRA,MF,18-262,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Henrique,brBRA,DF,28-353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jader,brBRA,FW,21-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Pereira,brBRA,GK,22-079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Renan,brBRA,FW,21-232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Riquelme,brBRA,MF,19-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Soares,brBRA,GK,19-253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Victor,brBRA,DF,22-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.3,24,264,"2,160",24.0,26,22,48,25,1,1,63,4,31.9,31.2,25.6,56.8,395,1042,1026,1.08,0.92,2.00,1.04,1.96,1.33,1.07,2.40,1.30,2.37,
Opponent Total,,,28.0,24,264,"2,160",24.0,29,17,46,29,0,1,44,3,30.8,30.3,19.3,49.6,383,877,870,1.21,0.71,1.92,1.21,1.92,1.28,0.80,2.09,1.26,2.07,
