Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cássio,brBRA,GK,37-105,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Léo Mana,brBRA,DF,20-166,5,3,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fausto Vera,arARG,MF,24-177,6,2,212,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,21,6,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches
José Andrés Martínez,veVEN,MF,30-043,2,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Giovane,brBRA,"FW,MF",20-300,11,1,274,3.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,3,4,28,0.33,0.00,0.33,0.33,0.33,0.33,0.04,0.37,0.33,0.37,Matches
Paulinho,brBRA,MF,36-056,6,1,118,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,6,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
Raul Bicalho,brBRA,DF,25-148,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Moscardo,brBRA,MF,18-357,2,1,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Héctor,esESP,"DF,FW",29-005,2,1,52,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Maycon,brBRA,MF,27-066,2,0,47,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
