Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mateus Gonçalves Martins,brBRA,"MF,FW",29-357,4,1,210,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,6,5,14,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.23,0.07,0.23,Matches
Luiz Adriano,brBRA,FW,37-160,8,1,202,2.2,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,1,4,9,0.00,0.45,0.45,0.00,0.45,0.06,0.04,0.09,0.06,0.09,Matches
Everaldo,brBRA,"MF,FW",30-114,6,1,141,1.6,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4,4,18,0.64,0.00,0.64,0.64,0.64,0.16,0.01,0.16,0.16,0.16,Matches
Daniel Jr,brBRA,"MF,FW",22-133,5,1,136,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.5,3,4,14,0.00,0.00,0.00,0.00,0.00,0.06,0.30,0.36,0.06,0.36,Matches
Gustavo Mosquito,brBRA,FW,27-012,2,1,116,1.3,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.9,4,2,6,0.00,0.78,0.78,0.00,0.78,0.24,0.46,0.71,0.24,0.71,Matches
José Hugo,brBRA,"MF,FW",24-338,18,0,505,5.6,1,2,3,1,0,0,2,0,1.5,1.5,0.8,2.3,24,16,56,0.18,0.36,0.53,0.18,0.53,0.27,0.15,0.41,0.27,0.41,Matches
EDU,brBRA,DF,24-095,4,0,132,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Iury de Castilho,brBRA,"FW,MF",29-013,5,0,124,1.4,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,5,8,8,0.73,0.00,0.73,0.73,0.73,0.85,0.02,0.87,0.85,0.87,Matches
Fábio Soares,brBRA,MF,19-291,3,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Lawan,brBRA,FW,19-117,3,0,89,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,0,1,5,0.00,0.00,0.00,0.00,0.00,0.23,0.35,0.58,0.23,0.58,Matches
Pablo Baianinho,brBRA,"MF,DF",21-047,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.26,0.16,0.26,Matches
Léo Gamalho,brBRA,FW,38-233,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luis Miguel,brBRA,"MF,FW",19-228,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
José Breno,brBRA,MF,20-105,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Muriel Becker,brBRA,GK,37-218,0,0,,0.0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,Matches
Felipe,brBRA,DF,25-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fintelman,brBRA,GK,23-061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Roque Júnior,brBRA,DF,22-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cristián Zapata,coCOL,DF,37-355,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,26,286,"2,340",26.0,27,16,43,22,5,5,72,6,27.6,23.9,17.5,41.4,363,794,782,1.04,0.62,1.65,0.85,1.46,1.06,0.67,1.73,0.92,1.59,
Opponent Total,,,28.5,26,286,"2,340",26.0,39,25,64,37,2,3,74,0,30.7,28.5,21.2,49.7,425,1129,1114,1.50,0.96,2.46,1.42,2.38,1.18,0.82,2.00,1.10,1.91,
