Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rafinha,brBRA,DF,39-012,4,3,235,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
João Moreira,ptPOR,"DF,MF",20-121,3,3,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Erick,brBRA,"MF,FW",26-284,13,2,351,3.9,1,2,3,1,0,0,1,0,0.3,0.3,1.3,1.6,14,20,38,0.26,0.51,0.77,0.26,0.77,0.07,0.34,0.41,0.07,0.41,Matches
Liziero,brBRA,MF,26-225,3,1,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Ruan,brBRA,DF,25-104,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Santiago Longo,arARG,MF,26-160,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo,brBRA,MF,20-187,3,0,62,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,1,4,0.00,0.00,0.00,0.00,0.00,0.67,0.05,0.72,0.67,0.72,Matches
James Rodríguez,coCOL,MF,33-069,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jamal Lewis,nirNIR,DF,26-238,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Henrique,brBRA,FW,17-315,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Young,brBRA,GK,22-196,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,Matches
Matheus Belém,brBRA,DF,21-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Igor,brBRA,DF,17-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leandro Mathias,brBRA,GK,19-310,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.0,26,286,"2,340",26.0,33,23,56,31,2,3,71,3,29.0,26.5,19.3,45.8,390,1018,1008,1.27,0.88,2.15,1.19,2.08,1.12,0.74,1.86,1.02,1.76,
Opponent Total,,,28.4,26,286,"2,340",26.0,24,16,40,21,3,3,75,7,22.0,19.6,14.3,34.0,366,849,838,0.92,0.62,1.54,0.81,1.42,0.85,0.55,1.40,0.76,1.31,
